data_key,scope_order,in_scope,selected_channel_name,selected_channel_name_normalized,selected_channel_name_sort_key,network,feed,location,group_title,category_guess,language_guess,tvg_id,tvg_name,tvg_logo,match_key_tvg_id,match_key_tvg_name,match_key_channel_name,match_key_name_group,source_channel_order,source_duplicate_key,source_stream_host,notes
tvg_id::5753,62,Y,NY | New York | FOX WNYW,NY | New York | FOX WNYW,ny new york fox wnyw,FOX,,"New York, NY",FOX - LOCAL,Local,,5753,NY | New York | FOX WNYW,,5753,ny new york fox wnyw,ny new york fox wnyw,ny new york fox wnyw::fox local,4247,tvg_id::5753,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::3760,63,Y,PBS KPBS San Diego CA,PBS KPBS San Diego CA,pbs kpbs san diego ca,PBS,,"San Diego, CA",Local Channels,Local,,3760,PBS KPBS San Diego CA,,3760,pbs kpbs san diego ca,pbs kpbs san diego ca,pbs kpbs san diego ca::local channels,2927,tvg_id::3760,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::125,64,Y,Showtime (East),Showtime (East),showtime east,Showtime,East,,Movies,Movies,,125,Showtime (East),,125,showtime east,showtime east,showtime east::movies,153,tvg_id::125,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::126,65,Y,Showtime (West),Showtime (West),showtime west,Showtime,West,,Movies,Movies,,126,Showtime (West),,126,showtime west,showtime west,showtime west::movies,154,tvg_id::126,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::127,66,Y,Showtime 2 (East),Showtime 2 (East),showtime 2 east,Showtime,East,,Movies,Movies,,127,Showtime 2 (East),,127,showtime 2 east,showtime 2 east,showtime 2 east::movies,155,tvg_id::127,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::130,67,Y,Starz (East),Starz (East),starz east,Starz,East,,Movies,Movies,,130,Starz (East),,130,starz east,starz east,starz east::movies,156,tvg_id::130,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::131,68,Y,Starz (West),Starz (West),starz west,Starz,West,,Movies,Movies,,131,Starz (West),,131,starz west,starz west,starz west::movies,157,tvg_id::131,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::133,69,Y,Syfy (East),Syfy (East),syfy east,Syfy,East,,Entertainment,Entertainment,,133,Syfy (East),,133,syfy east,syfy east,syfy east::entertainment,60,tvg_id::133,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::134,70,Y,TBS Superstation (East),TBS Superstation (East),tbs superstation east,TBS,East,,Entertainment,Entertainment,,134,TBS Superstation (East),,134,tbs superstation east,tbs superstation east,tbs superstation east::entertainment,61,tvg_id::134,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::135,71,Y,TBS Superstation (West),TBS Superstation (West),tbs superstation west,TBS,West,,Entertainment,Entertainment,,135,TBS Superstation (West),,135,tbs superstation west,tbs superstation west,tbs superstation west::entertainment,62,tvg_id::135,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::144,72,Y,TCM (East),TCM (East),tcm east,,East,,Movies,Movies,,144,TCM (East),,144,tcm east,tcm east,tcm east::movies,159,tvg_id::144,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::139,73,Y,The Learning Channel TLC (East),The Learning Channel TLC (East),the learning channel tlc east,TLC,East,,Entertainment,Entertainment,,139,The Learning Channel TLC (East),,139,the learning channel tlc east,the learning channel tlc east,the learning channel tlc east::entertainment,64,tvg_id::139,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::143,74,Y,TruTV (East),TruTV (East),trutv east,TruTV,East,,Entertainment,Entertainment,,143,TruTV (East),,143,trutv east,trutv east,trutv east::entertainment,68,tvg_id::143,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::140,75,Y,Turner Network Television TNT (East),Turner Network Television TNT (East),turner network television tnt east,TNT,East,,Entertainment,Entertainment,,140,Turner Network Television TNT (East),,140,turner network television tnt east,turner network television tnt east,turner network television tnt east::entertainment,65,tvg_id::140,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::141,76,Y,Turner Network Television TNT (West),Turner Network Television TNT (West),turner network television tnt west,TNT,West,,Entertainment,Entertainment,,141,Turner Network Television TNT (West),,141,turner network television tnt west,turner network television tnt west,turner network television tnt west::entertainment,66,tvg_id::141,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::145,77,Y,TV Land (East),TV Land (East),tv land east,TV Land,East,,Entertainment,Entertainment,,145,TV Land (East),,145,tv land east,tv land east,tv land east::entertainment,69,tvg_id::145,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::146,78,Y,Univision (East),Univision (East),univision east,Univision,East,,Entertainment,Entertainment,,146,Univision (East),,146,univision east,univision east,univision east::entertainment,70,tvg_id::146,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::147,79,Y,Univision (West),Univision (West),univision west,Univision,West,,Entertainment,Entertainment,,147,Univision (West),,147,univision west,univision west,univision west::entertainment,71,tvg_id::147,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::6070,80,Y,USA Cinemax Action UHD,USA Cinemax Action UHD,usa cinemax action uhd,Cinemax,,"Ultra, HD",Ultra HD,Movies,English,6070,USA Cinemax Action UHD,,6070,usa cinemax action uhd,usa cinemax action uhd,usa cinemax action uhd::ultra hd,4564,tvg_id::6070,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::6069,81,Y,USA Cinemax Classics UHD,USA Cinemax Classics UHD,usa cinemax classics uhd,Cinemax,,"Ultra, HD",Ultra HD,Movies,English,6069,USA Cinemax Classics UHD,,6069,usa cinemax classics uhd,usa cinemax classics uhd,usa cinemax classics uhd::ultra hd,4563,tvg_id::6069,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::6071,82,Y,USA Cinemax East UHD,USA Cinemax East UHD,usa cinemax east uhd,Cinemax,East,"Ultra, HD",Ultra HD,Movies,English,6071,USA Cinemax East UHD,,6071,usa cinemax east uhd,usa cinemax east uhd,usa cinemax east uhd::ultra hd,4565,tvg_id::6071,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::6073,83,Y,USA Cinemax Hits UHD,USA Cinemax Hits UHD,usa cinemax hits uhd,Cinemax,,"Ultra, HD",Ultra HD,Movies,English,6073,USA Cinemax Hits UHD,,6073,usa cinemax hits uhd,usa cinemax hits uhd,usa cinemax hits uhd::ultra hd,4567,tvg_id::6073,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
