channel_id,display_name,Telus_Optik_Vancouver_BC_CA,Rogers_Toronto_ON_CA,Xfinity_Chicago_IL_US,Broadcast_LosAngeles_CA_US,Verizon_FIOS_NewYork_NY_US
12551.stations.xmltv.tvmedia.ca,Weatherscan,,,,,Y
12597.stations.xmltv.tvmedia.ca,Motor Trend HD,,,,,Y
12609.stations.xmltv.tvmedia.ca,"ION (WPXN) New York, NY HD",,,,,Y
12614.stations.xmltv.tvmedia.ca,One America News Network,,,,,Y
12616.stations.xmltv.tvmedia.ca,MSG Plus - Syracuse,,,,,Y
12618.stations.xmltv.tvmedia.ca,Cinémoi,,,,,Y
12662.stations.xmltv.tvmedia.ca,TSC HD,,Y,,,
1273.stations.xmltv.tvmedia.ca,Discovery Life Channel,,,Y,,Y
1305.stations.xmltv.tvmedia.ca,Univision - Eastern Feed,,,,,Y
1306.stations.xmltv.tvmedia.ca,Univision - Pacific Feed,,,Y,,
1308.stations.xmltv.tvmedia.ca,FX Movie Channel,,,Y,,Y
13281.stations.xmltv.tvmedia.ca,"PBS World (KOCE-TV4) Huntington Beach, CA",,,,Y,
13285.stations.xmltv.tvmedia.ca,"Tele Vida Abundante (KBEH-DT4) Oxnard, CA",,,,Y,
13294.stations.xmltv.tvmedia.ca,"Estrella Games (KRCA 62.3) Los Angeles, CA",,,,Y,
13297.stations.xmltv.tvmedia.ca,"KRCA-DT4 Los Angeles, CA",,,,Y,
13306.stations.xmltv.tvmedia.ca,"KRCA-DT6 Los Angeles, CA",,,,Y,
13308.stations.xmltv.tvmedia.ca,"VietFace TV (KJLA-DT2) Los Angeles, CA",,,,Y,
13310.stations.xmltv.tvmedia.ca,"VNA TV (KJLA-DT3) Los Angeles, CA",,,,Y,
13311.stations.xmltv.tvmedia.ca,"SaigonTV (KJLA-DT5) Los Angeles, CA",,,,Y,
13313.stations.xmltv.tvmedia.ca,"SET (KJLA4) Los Angeles, CA",,,,Y,
13315.stations.xmltv.tvmedia.ca,"VBS (KJLA-DT6) Los Angeles, CA",,,,Y,
13317.stations.xmltv.tvmedia.ca,"Little Saigon TV (KJLA-DT7) Los Angeles, CA",,,,Y,
13319.stations.xmltv.tvmedia.ca,"IBC-TV (KJLA-DT8) Los Angeles, CA",,,,Y,
13321.stations.xmltv.tvmedia.ca,"ZWTV (KJLA-DT9) Los Angeles, CA",,,,Y,
13325.stations.xmltv.tvmedia.ca,"ESNE (KDOC-TV2) Los Angeles, CA",,,,Y,
13327.stations.xmltv.tvmedia.ca,"Majestadtv (KDOC-DT5) Los Angeles, CA",,,,Y,
13329.stations.xmltv.tvmedia.ca,"amga TV (KXLA10) Los Angeles, CA",,,,Y,
1333.stations.xmltv.tvmedia.ca,Lifetime Movies - East,,,,,Y
13348.stations.xmltv.tvmedia.ca,"MeTV Plus (KHTV) Los Angeles, CA",,,,Y,
13349.stations.xmltv.tvmedia.ca,"KHTV-DT2 ""Mana"" - Los Angeles, CA",,,,Y,
13350.stations.xmltv.tvmedia.ca,"Jewelry TV (KHTV-CD4) Los Angeles, CA",,,,Y,
13351.stations.xmltv.tvmedia.ca,"KHTV-CD3 Los Angeles, CA",,,,Y,
13354.stations.xmltv.tvmedia.ca,"KSMV-LD2 Los Angeles, CA",,,,Y,
13370.stations.xmltv.tvmedia.ca,"SonLife Network (KTAV-LD4) Altadena, CA",,,,Y,
13371.stations.xmltv.tvmedia.ca,"Almavision (KTAV-LD5) Altadena, CA",,,,Y,
13372.stations.xmltv.tvmedia.ca,"Peace TV (KTAV-LD6) Altadena, CA",,,,Y,
13400.stations.xmltv.tvmedia.ca,FXX Canada,,Y,,,
13401.stations.xmltv.tvmedia.ca,FXX Canada HD,Y,Y,,,
13442.stations.xmltv.tvmedia.ca,QVC2,,,,,Y
13458.stations.xmltv.tvmedia.ca,"Court TV (KHIZ) Victorville, CA",,,,Y,
13469.stations.xmltv.tvmedia.ca,Next Level Sports HD,,,,,Y
13473.stations.xmltv.tvmedia.ca,The Word Network,,,,,Y
13495.stations.xmltv.tvmedia.ca,HSN 2,,,,,Y
13504.stations.xmltv.tvmedia.ca,CCTV9 Documentary (English),Y,,,,
13521.stations.xmltv.tvmedia.ca,"GetTV (WFTY-DT3) Los Angeles, CA",,,,,Y
13585.stations.xmltv.tvmedia.ca,Global (CIII-DT-41) Toronto,,Y,,,
13605.stations.xmltv.tvmedia.ca,Arise,,,,,Y
13625.stations.xmltv.tvmedia.ca,Univision Canada,,Y,,,
13634.stations.xmltv.tvmedia.ca,Daystar  - Network HD,,,,,Y
13637.stations.xmltv.tvmedia.ca,FOROtv,,,,,Y
13639.stations.xmltv.tvmedia.ca,Hollywood Suite 80s & 90s,,Y,,,
13711.stations.xmltv.tvmedia.ca,SEC Network,,,,,Y
13712.stations.xmltv.tvmedia.ca,SEC Network HD,,,,,Y
13759.stations.xmltv.tvmedia.ca,SEC Network Alternate,,,,,Y
1377.stations.xmltv.tvmedia.ca,Cinemax Action - Eastern,,,Y,,Y
13784.stations.xmltv.tvmedia.ca,Crime + Investigation Canada HD,Y,,,,
13808.stations.xmltv.tvmedia.ca,Global (CIII-DT-41) Toronto HD,,Y,,,
1386.stations.xmltv.tvmedia.ca,NBC Sports Network,,,Y,,Y
1387.stations.xmltv.tvmedia.ca,Showtime 2 - Eastern,,,Y,,Y
13874.stations.xmltv.tvmedia.ca,"CJIL-TV-1 Bow Island, AB",Y,,,,
13887.stations.xmltv.tvmedia.ca,"TVO (CICA-DT) Toronto, ON",,Y,,,
1399.stations.xmltv.tvmedia.ca,FLIX - Eastern,,,,,Y
14118.stations.xmltv.tvmedia.ca,The Nest,,,,,Y
14156.stations.xmltv.tvmedia.ca,NHL Network USA,,,,,Y
14157.stations.xmltv.tvmedia.ca,NHL Network USA HD,,,,,Y
14203.stations.xmltv.tvmedia.ca,Deals TV,,,,,Y
14204.stations.xmltv.tvmedia.ca,Deals TV HD,,Y,,,
14219.stations.xmltv.tvmedia.ca,ART Cable (Arabic),,,,,Y
143.stations.xmltv.tvmedia.ca,"CTV (CKY) Winnipeg, MB",,Y,,,
14393.stations.xmltv.tvmedia.ca,Antena 3 Internacional,,,,,Y
14443.stations.xmltv.tvmedia.ca,"Court TV (WGN-TV3) Chicago, IL",,,Y,,
14446.stations.xmltv.tvmedia.ca,"ONTV4U (WWTO-TV3) Chicago, IL",,,Y,,
14451.stations.xmltv.tvmedia.ca,"KBS World (WOCK-DT2) Chicago, IL",,,Y,,
14490.stations.xmltv.tvmedia.ca,MLS Direct Kick 10,,,,,Y
14492.stations.xmltv.tvmedia.ca,MLS Direct Kick 2 HD,,,,,Y
14493.stations.xmltv.tvmedia.ca,MLS Direct Kick 2,,,,,Y
