"sha256","overlap_rows","file_names","source_paths"
"ABA2F797182F59EDED294396BC28A78FB05B1F8331C38619FFB9396323397286","2","ABA2F79718__localnow.m3u;ABA2F79718__playlist_apsattv_localnow.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\ABA2F79718__localnow.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\ABA2F79718__playlist_apsattv_localnow.m3u"
"ABD59B597F41680452895E8B2C724DAB29AF84FA1DF98314E14ABE3C845879C7","2","ABD59B597F__qa.m3u;qa.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\ABD59B597F__qa.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\qa.m3u"
"AE6D63C7E69E2C62EBD3B31F453C4E3AAFF41E79CCE2A0136126C40F09342996","2","AE6D63C7E6__us_tubi.m3u;us_tubi.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\AE6D63C7E6__us_tubi.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\us_tubi.m3u"
"AEF443C79290E57CEE72A1D572A5401F970C3E36FF5A898D4ED74B3455F09A18","2","AEF443C792__cy.m3u;cy.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\AEF443C792__cy.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\cy.m3u"
"B214EAE1709D56EFD573EAF7D3F43C404FE4049EB31E408C88F8C4274CE9C690","2","B214EAE170__de.m3u;de.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\B214EAE170__de.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\de.m3u"
"B47E4D68ABB182ECD4267F0D6FA0F3892A196D97612FAA41EAC14DF81F39B662","2","B47E4D68AB__us_adultswim.m3u;us_adultswim.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\B47E4D68AB__us_adultswim.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\us_adultswim.m3u"
"B58209DCCBDD2532BC497E4D017855C3610B47838EF6D0FFFC2587870EA08CD8","2","B58209DCCB__hk.m3u;hk.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\B58209DCCB__hk.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\hk.m3u"
"B68FA208500FAE04FE25A5278AE0E0286C1C9567D0A4DBC6B154EAE5EB245497","2","B68FA20850__us_klowdtv.m3u;us_klowdtv.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\B68FA20850__us_klowdtv.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\us_klowdtv.m3u"
"B8F030D64F948CCC4A406B6C2DACC59CFCA1A263E4F1DEC6C8E29CA91197CA15","2","B8F030D64F__hn.m3u;hn.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\B8F030D64F__hn.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\hn.m3u"
"B9934EC72269EB26E917827D0E8C3A0773BBB2B8F87FA48C67CD8D788DA67154","2","B9934EC722__uk_bbc.m3u;uk_bbc.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\B9934EC722__uk_bbc.m3u;C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\uk_bbc.m3u"
