"type","last_write","size_bytes","src_path","dst_path"
"epg","04/11/24 2:47:11 PM","658826","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25\sites\tvprofil.com\tvprofil.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\41E842131A__tvprofil.com.channels.xml"
"epg","04/11/24 2:47:11 PM","658826","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5\sites\tvprofil.com\tvprofil.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\41E842131A__tvprofil.com.channels.xml"
"epg","22/11/25 11:55:20 AM","644697","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\sites\epgshare01.online\epgshare01.online_US_LOCALS2.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\FB2D83EFE0__epgshare01.online_US_LOCALS2.channels.xml"
"epg","26/09/25 10:40:03 AM","643871","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg\sites\epgshare01.online\epgshare01.online_US_LOCALS2.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\BAA2D60817__epgshare01.online_US_LOCALS2.channels.xml"
"epg","11/08/25 2:55:43 AM","643871","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_iptvorg_epgshare_us_locals2_channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\BAA2D60817__epg_iptvorg_epgshare_us_locals2_channels.xml"
"epg","11/08/25 2:55:55 AM","606146","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_openepg_uk1.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\AAF6955029__epg_openepg_uk1.xml.gz"
"epg","11/08/25 2:55:37 AM","472733","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgshare_nz1.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\B1D45F434C__epg_epgshare_nz1.xml.gz"
"epg","11/08/25 2:55:52 AM","425585","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_openepg_ie2.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\F42B493F2C__epg_openepg_ie2.xml.gz"
"epg","11/08/25 2:55:48 AM","415531","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_openepg_ca1.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\13FFF8EAF7__epg_openepg_ca1.xml.gz"
"epg","22/11/25 11:55:20 AM","366472","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\sites\epg.iptvx.one\epg.iptvx.one.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\94B86B0453__epg.iptvx.one.channels.xml"
"epg","22/11/25 11:55:20 AM","339816","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\sites\streamingtvguides.com\streamingtvguides.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\28A114F5B7__streamingtvguides.com.channels.xml"
"epg","26/09/25 10:40:03 AM","339813","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg\sites\streamingtvguides.com\streamingtvguides.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\9D3BBFE1AC__streamingtvguides.com.channels.xml"
"epg","11/08/25 2:55:41 AM","339813","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_iptvorg_streamingtv_channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\9D3BBFE1AC__epg_iptvorg_streamingtv_channels.xml"
"epg","12/11/24 10:59:07 AM","339813","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__BE5F3E8D\sites\streamingtvguides.com\streamingtvguides.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\9D3BBFE1AC__streamingtvguides.com.channels.xml"
"epg","12/11/24 10:59:07 AM","339813","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__CEF6D209\sites\streamingtvguides.com\streamingtvguides.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\9D3BBFE1AC__streamingtvguides.com.channels.xml"
"epg","12/11/24 10:59:07 AM","339813","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25\epg\sites\streamingtvguides.com\streamingtvguides.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\9D3BBFE1AC__streamingtvguides.com.channels.xml"
"epg","12/11/24 10:59:07 AM","339813","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5\epg\sites\streamingtvguides.com\streamingtvguides.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\9D3BBFE1AC__streamingtvguides.com.channels.xml"
"epg","04/11/24 2:47:10 PM","339813","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5\sites\streamingtvguides.com\streamingtvguides.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\9D3BBFE1AC__streamingtvguides.com.channels.xml"
"epg","04/11/24 2:47:10 PM","339813","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25\sites\streamingtvguides.com\streamingtvguides.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\9D3BBFE1AC__streamingtvguides.com.channels.xml"
"epg","11/08/25 2:55:56 AM","325282","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_openepg_uk2.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\C37D770459__epg_openepg_uk2.xml.gz"
"epg","11/08/25 2:55:46 AM","325270","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_openepg_au3.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\88182B9474__epg_openepg_au3.xml.gz"
