channel_id,display_name
8457.stations.xmltv.tvmedia.ca,History 2 Canada HD
8458.stations.xmltv.tvmedia.ca,Oxygen True Crime Canada HD
85.stations.xmltv.tvmedia.ca,Crave3 - East
8558.stations.xmltv.tvmedia.ca,E! Canada HD
86.stations.xmltv.tvmedia.ca,Crave2 - East
8777.stations.xmltv.tvmedia.ca,Family Channel Canada - East HD
88.stations.xmltv.tvmedia.ca,"CBS (WIVB) Buffalo, NY"
89.stations.xmltv.tvmedia.ca,"ABC (WKBW) Buffalo, NY"
90.stations.xmltv.tvmedia.ca,"KTLA Los Angeles, CA"
91.stations.xmltv.tvmedia.ca,"NBC (WGRZ) Buffalo, NY"
9112.stations.xmltv.tvmedia.ca,MAX HD
9116.stations.xmltv.tvmedia.ca,Documentary Channel (Canada) HD
9156.stations.xmltv.tvmedia.ca,Cinépop HD
92.stations.xmltv.tvmedia.ca,"PBS (WNED) Buffalo, NY"
9309.stations.xmltv.tvmedia.ca,OUTtv HD
9396.stations.xmltv.tvmedia.ca,Much Music HD
9505.stations.xmltv.tvmedia.ca,Bravo Canada HD
9530.stations.xmltv.tvmedia.ca,WGN Canada HD
9632.stations.xmltv.tvmedia.ca,Slice HD
9652.stations.xmltv.tvmedia.ca,W (WTN) - East HD
9660.stations.xmltv.tvmedia.ca,"CTV (CKCK) Regina, SK HD"
9690.stations.xmltv.tvmedia.ca,"CTV (CKCO) Kitchener, ON HD"
9694.stations.xmltv.tvmedia.ca,"Global (CKWS) Kingston, ON HD"
9696.stations.xmltv.tvmedia.ca,"Global (CHEX-TV-2) Durham, ON HD"
9697.stations.xmltv.tvmedia.ca,"Global (CHEX) Peterborough, ON HD"
