channel_id,display_name,DirecTV[US],Spectrum_NY[US],Bell_Fibe[CA]
6437.stations.xmltv.tvmedia.ca,Global (CKMI) Quebec HD,,,Y
645.stations.xmltv.tvmedia.ca,Animal Planet US - East,,Y,
6454.stations.xmltv.tvmedia.ca,"CTV (CFCN) Calgary, AB HD",,,Y
646.stations.xmltv.tvmedia.ca,Bravo USA - Eastern Feed,,Y,
647.stations.xmltv.tvmedia.ca,Comedy Central (US) - Eastern Feed,,Y,
6484.stations.xmltv.tvmedia.ca,OMNI.1 HD,,,Y
649.stations.xmltv.tvmedia.ca,Discovery Channel (US) - Eastern Feed,,Y,
650.stations.xmltv.tvmedia.ca,ESPN2,,Y,
652.stations.xmltv.tvmedia.ca,FX Networks East Coast,,Y,
654.stations.xmltv.tvmedia.ca,Lifetime Network US - Eastern Feed,,Y,
655.stations.xmltv.tvmedia.ca,MS NOW USA,Y,Y,
656.stations.xmltv.tvmedia.ca,MTV USA - Eastern Feed,Y,Y,
657.stations.xmltv.tvmedia.ca,National Geographic US - Eastern,,Y,
658.stations.xmltv.tvmedia.ca,Nickelodeon USA - East Feed,,Y,
659.stations.xmltv.tvmedia.ca,Oxygen True Crime - Eastern Feed,,Y,
6603.stations.xmltv.tvmedia.ca,"CITY Montreal, QC HD",,,Y
661.stations.xmltv.tvmedia.ca,Cartoon Network USA - Eastern Feed,,Y,
663.stations.xmltv.tvmedia.ca,VH1 - Eastern Feed,Y,Y,
