"file_name","extension","size_bytes","sha256","full_path"
"518C4570B1__ro.m3u",".m3u","15933","518C4570B1E17FE191D8B97F4EE750CD267BAF516B59A5FD2C4765257E79EFDC","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\518C4570B1__ro.m3u"
"521C904AEB__de_pluto.m3u",".m3u","98598","521C904AEB8647C81230C904ECE87B8B4E4A3F9044EC3FEAFB8A221CFA350125","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\521C904AEB__de_pluto.m3u"
"52B2507633__az.m3u",".m3u","2364","52B25076333E48B0E82DC2815F2096251C1EAA680A0D68021D9CA5877A251A87","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\52B2507633__az.m3u"
"5313E214D2__playlist_free-tv_ca.m3u8",".m3u8","21519","5313E214D23118FD00990F562769FFC411527097DC290C8F1E8AEA8E1CB119C0","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\5313E214D2__playlist_free-tv_ca.m3u8"
"5332F50F58__sk.m3u",".m3u","4976","5332F50F58644ABF157FADBB200B6A8B4162511310F7C56AF3A5F7B3EF1159D4","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\5332F50F58__sk.m3u"
"54B7E3AC2A__lv.m3u",".m3u","2180","54B7E3AC2AA5FE202B3177ED04197987A647EFDADDF9A6986DDB638C853DECE5","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\54B7E3AC2A__lv.m3u"
"550A47AE91__playlist_src_us_klowdtv.m3u",".m3u","7716","550A47AE91C6A1FA4E3CC5AB3224D5E46463F4B9514ACE144C7A7D4EA012F474","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\550A47AE91__playlist_src_us_klowdtv.m3u"
"5638FC2C9A__kr.m3u",".m3u","14037","5638FC2C9ABA1F4E2C3DB3125218E6D975219FC267365EBA0EC5DC12D6A04330","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\5638FC2C9A__kr.m3u"
"56B7C049ED__br.m3u",".m3u","38563","56B7C049EDF50FF4169AF1AA04D9A4CEA1B74107EC9478272A50743BFA206CA0","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\56B7C049ED__br.m3u"
"5847CA85FC__cr.m3u",".m3u","10319","5847CA85FC0DD44355A72F61F4569F410DCA5DE9BA38D0AB0F3D4DF4B9151030","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\5847CA85FC__cr.m3u"
"58B3AF4FA9__playlist_src_us_sofast.m3u",".m3u","13091","58B3AF4FA960051BF92BF5EF005035F8304E2AE0F4D48BC8CF0E20AF1ABC2114","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\58B3AF4FA9__playlist_src_us_sofast.m3u"
"59D07AF8E6__tvh-tv.m3u8",".m3u8","2720","59D07AF8E6D05E26DF67980B70D9F5D05ED25B102D5E45DA4EAA024152B06745","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\59D07AF8E6__tvh-tv.m3u8"
"5BCE85D721__us_canelatv.m3u",".m3u","3083","5BCE85D7211B5DAB179B4D72C3BFC739832F40792EF6BCA9C1B3EBFDDA7C17FD","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\5BCE85D721__us_canelatv.m3u"
"5DBC229F87__so_premiumfree.m3u",".m3u","2369","5DBC229F87BBC27EA5A05FBED6C930E2E4A7B9DA15C201C9A19370D1C1346597","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\5DBC229F87__so_premiumfree.m3u"
"5DF42D978A__nl.m3u",".m3u","25699","5DF42D978A0AE864832E4BC4088E8D03F025FEF5902512E4E117791429F23D9C","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\5DF42D978A__nl.m3u"
"5E33F9A996__us_cineversetv.m3u",".m3u","5901","5E33F9A996F791482E41451DEF87FE96315BDB33FA9399914B46F34FE4640D5B","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\5E33F9A996__us_cineversetv.m3u"
"6190229E34__ru_televizor-24.m3u",".m3u","3113","6190229E34C3EB49FF29AFB8E32AFB17B67230C2D31EEEE67647D05944B8DEC7","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\6190229E34__ru_televizor-24.m3u"
"637C9C2417__playlist_src_uk_rakuten.m3u",".m3u","15331","637C9C24174066B0987F6789CB6DCF9BD2495AA198E21633B550B0DA53281A92","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\637C9C2417__playlist_src_uk_rakuten.m3u"
"648F175E1C__gh.m3u",".m3u","2334","648F175E1CB1F276970B2A2B203CCF94315F83F29C71A2B3353FA7CBE4E8DED0","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\648F175E1C__gh.m3u"
"668F10EE43__playlist_free-tv_ie.m3u8",".m3u8","17163","668F10EE43BBA8B89EC8D8CAC05B9FB241E61892DBF4201574CB61F37FE943F6","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\668F10EE43__playlist_free-tv_ie.m3u8"
"673B1259F3__kz.m3u",".m3u","3602","673B1259F36712B983F9D96B52BD2DCE4A5B22CF0713047535FC14A03B5BD11A","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\673B1259F3__kz.m3u"
"68F2170DDD__it_samsung.m3u",".m3u","4202","68F2170DDD1F32AD0FA1ED1017124A357A848C75CFDA4E7E1C4BEDE6A7606D94","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\68F2170DDD__it_samsung.m3u"
"6936258AFB__ae.m3u",".m3u","8866","6936258AFB6CCFF0CEB8F60746972C231A47110CF14EB7BF234DF8F6A0B58006","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\6936258AFB__ae.m3u"
"6AD270EFD4__kh.m3u",".m3u","2021","6AD270EFD45E442BDF2705A8FA405F72E0AE4F9C2CC19FF52EEF7593E17BA925","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\6AD270EFD4__kh.m3u"
"6C22B700E0__nz_samsung.m3u",".m3u","5670","6C22B700E03D6DC0FE1CD21492563E0AD21E10C5534ACB0DDA483A5439932CF5","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\6C22B700E0__nz_samsung.m3u"
"6F7D3F9101__my.custom.m3u",".m3u","4796911","6F7D3F910162D176A89BC9D22127CB235F48A608AFF3AB24BFA4E6B7F4B3EF28","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\6F7D3F9101__my.custom.m3u"
"6F9576F6A4__us_firetv.m3u",".m3u","2085","6F9576F6A463D0B8773523E4418364F2AEC70CA76009C7711E6BE5BE1FA2FAC7","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\6F9576F6A4__us_firetv.m3u"
"7021C2E92E__uk_samsung.m3u",".m3u","3382","7021C2E92ED51231595B1C27C3AB7DD50C324325E0A3BF32E276229871231CA6","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\7021C2E92E__uk_samsung.m3u"
"729B49A4C9__us_roku.m3u",".m3u","5281","729B49A4C92ACE679AF149CDFBFDB22E776411503C5E332C494349B430646564","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\729B49A4C9__us_roku.m3u"
"7332F044D4__es.m3u",".m3u","48311","7332F044D41080AA2ECF7900BF6840042008E6F117678EB7F247EC041909AFE2","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\7332F044D4__es.m3u"
"750E5806E0__ec.m3u",".m3u","9538","750E5806E0A9831FA7D7309B08A4A997264037EDA835668DFE09A383F6E2D0A6","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\750E5806E0__ec.m3u"
"753252784F__do.m3u",".m3u","29606","753252784FCEB0C5BAFC6A4C32124504E8AF593216169E319B731109646CDAFF","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\753252784F__do.m3u"
"756CAD6C29__mx_pluto.m3u",".m3u","47504","756CAD6C29C037C3751791A0FECDE7ECB3432A3177B4507F903C26517B465312","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\756CAD6C29__mx_pluto.m3u"
"75B90801A8__jo.m3u",".m3u","3701","75B90801A8C026CE3037CE802C5EE1147EEE08E652A3F864CA2482F52846A093","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\75B90801A8__jo.m3u"
"7610B1E8B8__us_vizio.m3u",".m3u","4181","7610B1E8B83B965FAF4208B5D29BB747D293B698396A9311D784780536430593","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\7610B1E8B8__us_vizio.m3u"
"790062B811__us_xumo.m3u",".m3u","14229","790062B81169F70A7287DDEA32E8FBB6FEE3292FC61D755FB9097314DCD3FC15","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\790062B811__us_xumo.m3u"
"797FF1B7B1__at.m3u",".m3u","3971","797FF1B7B153A2C8F5547267277BA2516A36E4175CD231C198D2CB62A7EDB2D6","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\797FF1B7B1__at.m3u"
"7C5157B173__bg.m3u",".m3u","3007","7C5157B173BBBC42E1E82004652D453FDBAE5F1D1776A8E67D6474DBC8DF9FBB","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\7C5157B173__bg.m3u"
"7FBB4548A9__cn.m3u",".m3u","86064","7FBB4548A98D8D58DAFB81DDF9753AAA1D19FFFB471453322FD15B0A8BBCD7C1","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\7FBB4548A9__cn.m3u"
"80CE009439__ve.m3u",".m3u","9733","80CE00943963EEABF50C9A324DE6AFD4EA088AA26AE8ADE594AE480F5DB3F4C5","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\80CE009439__ve.m3u"
"825461BD24__py.m3u",".m3u","7614","825461BD243ABB0DA9E5F79A8560C9FAFC1D5CD994C659624AA2D84F71B29634","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\825461BD24__py.m3u"
"827AA68905__tw.m3u",".m3u","7979","827AA68905458CA44507A33D5BCC499EC9932668AFB6D288D0B42BA966604CD0","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\827AA68905__tw.m3u"
"832D7D1EAB__playlist_free-tv_docs_en.m3u8",".m3u8","15708","832D7D1EABDC5A57E74B512E04BFC251E2B270822961BBCB184C4F51F2F7DBC6","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\832D7D1EAB__playlist_free-tv_docs_en.m3u8"
"83B7C94C75__mt_smash_plus.m3u",".m3u","2300","83B7C94C7561C90EBB42FE2B6C788E18D8A5FDBA721FBA2C9B24D0DC788DB291","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\83B7C94C75__mt_smash_plus.m3u"
"852D44EBAB__us_ythls.m3u",".m3u","101219","852D44EBABF1277A5E1F2E7754305B155C9BED8AD37F624087F64511D7F81A31","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\852D44EBAB__us_ythls.m3u"
"85C38E9E32__pk.m3u",".m3u","5049","85C38E9E3290F1D8EAA895B05EF908B4E6EAF8B3FC02EC5B1A8F6CA88A75A714","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\85C38E9E32__pk.m3u"
"86A94C736C__playlist_src_us_tubi.m3u",".m3u","33534","86A94C736C86888651BBADBCE0DD84B1461D4FCE793B64B0378E3C289E24E465","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\86A94C736C__playlist_src_us_tubi.m3u"
"86F5141DCB__playlist_apsattv_xumo.m3u",".m3u","66039","86F5141DCB8DA38658E5194E96D3674CB925AAACC6751E0BB97337F6CB242BE2","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\86F5141DCB__playlist_apsattv_xumo.m3u"
"88D26A8C40__co.m3u",".m3u","20775","88D26A8C40367B287B785B34BA70BDB41A1E30D0AD946D16FC3C3ADECEFA946E","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\88D26A8C40__co.m3u"
