tag,site,name,xmltv_id,lang,site_id,source_file
streamingtvguides.com,streamingtvguides.com,Sky Link Tv 2,,en,SKYLNK2,streamingtvguides.com.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Max,SkyMax.uk@SD,en,http://bds.tv/services/BT_255_1402_SD,player.ee.co.uk.channels.xml
epgshare01.online,epgshare01.online,Sky Max HD,,en,UK1#Sky.Max.HD.uk,epgshare01.online_UK1.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Max HD,SkyMax.uk@HD,en,http://bds.tv/services/BT_755657_1402_HD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Max HD,,en,sky-max-hd,tv24.co.uk.channels.xml
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky Max HD,SkyMax.uk@HD,en,2181,virgintvgo.virginmedia.com.channels.xml
tv24.co.uk,tv24.co.uk,Sky Max HD (VM),,en,sky-max-hd-vm,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Max SD,,en,sky-max-sd,tv24.co.uk.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Mix,SkyMix.uk@SD,en,dvb://233a..56c0,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Mix,,en,sky-mix,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Mix,,en,pick-tv,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Mix +1,,en,pick-tv-1,tv24.co.uk.channels.xml
epgshare01.online,epgshare01.online,Sky Mix HD,,en,UK1#Sky.Mix.HD.uk,epgshare01.online_UK1.channels.xml
tv24.co.uk,tv24.co.uk,Sky Mix HD,,en,sky-mix-hd-1,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Mix HD,,en,sky-mix-hd,tv24.co.uk.channels.xml
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky Mix HD,SkyMix.uk@HD,en,1384,virgintvgo.virginmedia.com.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Nature,SkyNature.uk@SD,en,http://bds.tv/services/BT_772168_1194_SD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Nature,,en,sky-nature,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Nature,,en,sky-nature-1,tv24.co.uk.channels.xml
epgshare01.online,epgshare01.online,Sky Nature HD,,en,UK1#Sky.Nature.HD.uk,epgshare01.online_UK1.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Nature HD,SkyNature.uk@HD,en,http://bds.tv/services/BT_772171_1194_HD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Nature HD,,en,sky-nature-hd,tv24.co.uk.channels.xml
