data_key,scope_order,selected_channel_name,tvg_id,network,feed,location,group_title,match_status,matched_channel_count,matched_channel_names,matched_tvg_ids
tvg_id::6115,103,USA HBO Hits West UHD,6115,HBO,West,"Ultra, HD",Ultra HD,matched,1,USA HBO Hits West UHD,6115
tvg_id::6122,104,USA HBO Movies UHD,6122,HBO,,"Ultra, HD",Ultra HD,matched,1,USA HBO Movies UHD,6122
tvg_id::6121,105,USA HBO West UHD,6121,HBO,West,"Ultra, HD",Ultra HD,matched,1,USA HBO West UHD,6121
tvg_id::6123,106,USA HGTV UHD,6123,HGTV,,"Ultra, HD",Ultra HD,matched,1,USA HGTV UHD,6123
tvg_id::6124,107,USA History UHD,6124,History,,"Ultra, HD",Ultra HD,matched,1,USA History UHD,6124
tvg_id::6125,108,USA HLN UHD,6125,HLN,,"Ultra, HD",Ultra HD,matched,1,USA HLN UHD,6125
tvg_id::6146,109,USA MTV UHD,6146,MTV,,"Ultra, HD",Ultra HD,matched,1,USA MTV UHD,6146
tvg_id::6147,110,USA MTV WEST UHD,6147,MTV,West,"Ultra, HD",Ultra HD,matched,1,USA MTV WEST UHD,6147
tvg_id::6148,111,USA NAT GEO UHD,6148,National Geographic,,"Ultra, HD",Ultra HD,matched,1,USA NAT GEO UHD,6148
tvg_id::6149,112,USA NAT GEO Wild UHD,6149,National Geographic,,"Ultra, HD",Ultra HD,matched,1,USA NAT GEO Wild UHD,6149
tvg_id::15,113,USA Network (East),15,USA,East,United States,Entertainment,matched,1,USA Network (East),15
tvg_id::16,114,USA Network (West),16,USA,West,United States,Entertainment,matched,1,USA Network (West),16
tvg_id::6164,115,USA Paramount Network UHD,6164,Paramount,,"Ultra, HD",Ultra HD,matched,1,USA Paramount Network UHD,6164
tvg_id::6178,116,USA Paramount+ with Showtime UHD,6178,Paramount,Plus,"Ultra, HD",Ultra HD,matched,1,USA Paramount+ with Showtime UHD,6178
tvg_id::6182,117,USA Paramount+ with Showtime West UHD,6182,Paramount,West,"Ultra, HD",Ultra HD,matched,1,USA Paramount+ with Showtime West UHD,6182
tvg_id::6172,118,USA Science UHD,6172,Science,,"Ultra, HD",Ultra HD,matched,1,USA Science UHD,6172
tvg_id::6177,119,USA Showtime 2 UHD,6177,Showtime,,"Ultra, HD",Ultra HD,matched,1,USA Showtime 2 UHD,6177
tvg_id::6179,120,USA Showtime Extreme UHD,6179,Showtime,,"Ultra, HD",Ultra HD,matched,1,USA Showtime Extreme UHD,6179
tvg_id::6181,121,USA Showtime Next UHD,6181,Showtime,,"Ultra, HD",Ultra HD,matched,1,USA Showtime Next UHD,6181
tvg_id::6176,122,USA Showtime Showcase UHD,6176,Showtime,,"Ultra, HD",Ultra HD,matched,1,USA Showtime Showcase UHD,6176
tvg_id::6184,123,USA Smithsonian UHD,6184,Smithsonian,,"Ultra, HD",Ultra HD,matched,1,USA Smithsonian UHD,6184
tvg_id::6188,124,USA Starz Cinema UHD,6188,Starz,,"Ultra, HD",Ultra HD,matched,1,USA Starz Cinema UHD,6188
tvg_id::6189,125,USA Starz Comedy UHD,6189,Starz,,"Ultra, HD",Ultra HD,matched,1,USA Starz Comedy UHD,6189
tvg_id::6190,126,USA Starz Edge UHD,6190,Starz,,"Ultra, HD",Ultra HD,matched,1,USA Starz Edge UHD,6190
tvg_id::6191,127,USA Starz Encore Action UHD,6191,Starz,,"Ultra, HD",Ultra HD,matched,1,USA Starz Encore Action UHD,6191
tvg_id::6193,128,USA Starz Encore Classic UHD,6193,Starz,,"Ultra, HD",Ultra HD,matched,1,USA Starz Encore Classic UHD,6193
tvg_id::6195,129,USA Starz Encore Suspense UHD,6195,Starz,,"Ultra, HD",Ultra HD,matched,1,USA Starz Encore Suspense UHD,6195
tvg_id::6196,130,USA Starz Encore UHD,6196,Starz,,"Ultra, HD",Ultra HD,matched,1,USA Starz Encore UHD,6196
tvg_id::6198,131,USA Starz Encore West UHD,6198,Starz,West,"Ultra, HD",Ultra HD,matched,1,USA Starz Encore West UHD,6198
tvg_id::6197,132,USA Starz Encore Westerns UHD,6197,Starz,,"Ultra, HD",Ultra HD,matched,1,USA Starz Encore Westerns UHD,6197
