"publish_type","file_name","relative_path","tivimate_stage_path","runtime_stage_path","size_bytes","sha256"
"m3u","D5F089682F__us_samsung.m3u","D5F089682F__us_samsung.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\D5F089682F__us_samsung.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\D5F089682F__us_samsung.m3u","5162","D5F089682F29284C6321A5A68B649E74045239ADA84B4647C7B3C9E4E9AD71F9"
"m3u","D68C2ED9AC__hu.m3u","D68C2ED9AC__hu.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\D68C2ED9AC__hu.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\D68C2ED9AC__hu.m3u","15369","D68C2ED9AC039CA4E4AB116F8F9478FB7F23E78EED73C7B5C35065D1CF9659E4"
"m3u","D6C183A528__pe.m3u","D6C183A528__pe.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\D6C183A528__pe.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\D6C183A528__pe.m3u","18121","D6C183A52886496D7463DFE36EE81C2727578C09648F3DA1591739C9CF0BA1F3"
"m3u","D6EC0EE288__us_local.m3u","D6EC0EE288__us_local.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\D6EC0EE288__us_local.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\D6EC0EE288__us_local.m3u","53653","D6EC0EE288537A5594503A4B00AF6B39A879F38DE6557BD034D9B22DBE159525"
"m3u","D9D8937ADF__md.m3u","D9D8937ADF__md.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\D9D8937ADF__md.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\D9D8937ADF__md.m3u","2097","D9D8937ADFDBDB326F7567BDB258362FAED9B5FD2999B76669FAE523CB4B75E9"
"m3u","DADCC6D195__ca.m3u","DADCC6D195__ca.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\DADCC6D195__ca.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\DADCC6D195__ca.m3u","33057","DADCC6D1955A93E89656D799A1EB88C10FCE6756E2A9733DED46A1B719106966"
"m3u","DADCC6D195__playlist_local_ca.m3u","DADCC6D195__playlist_local_ca.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\DADCC6D195__playlist_local_ca.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\DADCC6D195__playlist_local_ca.m3u","33057","DADCC6D1955A93E89656D799A1EB88C10FCE6756E2A9733DED46A1B719106966"
"m3u","DC514A7665__fr_pluto.m3u","DC514A7665__fr_pluto.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\DC514A7665__fr_pluto.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\DC514A7665__fr_pluto.m3u","55139","DC514A7665DAEFC8C2E23731567FBCE3D80B40EE874721952FCE75659085D644"
"m3u","DC5D6630CA__playlist_local_uk.m3u","DC5D6630CA__playlist_local_uk.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\DC5D6630CA__playlist_local_uk.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\DC5D6630CA__playlist_local_uk.m3u","52414","DC5D6630CA1A73C906C38A3C3978EB45C026708735A8A2124BF3E488BD8DADF6"
"m3u","DC5D6630CA__uk.m3u","DC5D6630CA__uk.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\DC5D6630CA__uk.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\DC5D6630CA__uk.m3u","52414","DC5D6630CA1A73C906C38A3C3978EB45C026708735A8A2124BF3E488BD8DADF6"
"m3u","DCB1077C13__fi.m3u","DCB1077C13__fi.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\DCB1077C13__fi.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\DCB1077C13__fi.m3u","3796","DCB1077C13122BB984D4C2F4B46FAB67E809449C6C60B156B329D3358F209BC2"
"m3u","de.m3u","review_from_iptv__C42511BE\de.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\de.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\de.m3u","33259","B214EAE1709D56EFD573EAF7D3F43C404FE4049EB31E408C88F8C4274CE9C690"
